Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
71,253,71,1988-04-01,CHI,@,POR,W 116-101,*,42:00:00,13,30,0.433,1,2,0.5,12,28,0.429,0.45,11,13,0.846,4,7,11,7,3,0,3,5,38,29.2
72,254,72,1988-04-03,CHI,@,DET,W 112-110,*,42:00:00,21,27,0.778,0,1,0,21,26,0.808,0.778,17,19,0.895,2,2,4,6,2,2,1,4,59,54.7
73,255,73,1988-04-05,CHI,,WSB,L 94-105,*,42:00:00,12,20,0.6,0,1,0,12,19,0.632,0.6,5,8,0.625,1,2,3,1,4,1,6,4,29,17.7
74,256,74,1988-04-06,CHI,@,MIL,W 119-110,*,44:00:00,12,22,0.545,0,0,,12,22,0.545,0.545,13,13,1,1,5,6,6,3,1,5,5,37,29.5
75,257,75,1988-04-08,CHI,,NYK,W 131-122,*,43:00:00,13,24,0.542,0,0,,13,24,0.542,0.542,14,18,0.778,3,3,6,3,8,2,3,4,40,36.7
76,258,76,1988-04-14,CHI,@,IND,W 116-110,*,38:00:00,12,28,0.429,0,2,0,12,26,0.462,0.429,11,12,0.917,2,4,6,3,3,1,2,3,35,25
77,259,77,1988-04-15,CHI,@,NJN,W 100-99,*,39:00:00,11,20,0.55,0,0,,11,20,0.55,0.55,6,8,0.75,0,0,0,4,2,0,3,5,28,17.4
78,260,78,1988-04-17,CHI,,MIL,W 105-97,*,38:00:00,17,29,0.586,0,1,0,17,28,0.607,0.586,10,14,0.714,1,2,3,6,4,3,2,4,44,36.9
79,261,79,1988-04-19,CHI,@,NYK,W 121-118,*,40:00:00,18,27,0.667,0,2,0,18,25,0.72,0.667,11,13,0.846,3,2,5,2,2,1,6,4,47,33.7
80,262,80,1988-04-21,CHI,@,BOS,L 119-126,*,41:00:00,17,33,0.515,0,2,0,17,31,0.548,0.515,5,6,0.833,3,0,3,8,2,1,4,5,39,26.7
81,263,81,1988-04-22,CHI,,CLE,L 103-107,*,42:00:00,12,26,0.462,0,0,,12,26,0.462,0.462,2,2,1,1,0,1,7,4,1,2,5,26,18.9
82,264,82,1988-04-24,CHI,,BOS,W 115-108,*,44:00:00,16,25,0.64,0,1,0,16,24,0.667,0.64,14,15,0.933,0,6,6,6,1,1,3,3,46,38
,,,,,,,50-32,82,3311,1069,1998,0.535,7,53,0.132,1062,1945,0.546,0.537,723,860,0.841,139,310,449,485,259,131,252,270,2868,28.8
